name,id,start_time,duration_time
Morado,6OCvQVpcLUE,00:01:50,00:00:09
Gris,IVkwMzTxgog,00:01:20,00:00:03
Gris,U7m4daxkSBQ,00:03:02,00:00:03
Gris,LjEVaPWWtvk,00:00:51,00:00:03
Gris,Dgyv9EsBNtk,00:05:59,00:00:04
Gris,6OCvQVpcLUE,00:01:37,00:00:07
Cafe,IVkwMzTxgog,00:01:08,00:00:02
Cafe,U7m4daxkSBQ,00:03:47,00:00:03
Cafe,Dgyv9EsBNtk,00:05:49,00:00:06
Cafe,6OCvQVpcLUE,00:01:24,00:00:08
Cafe,mmJjwnGPq-k,00:01:14,00:00:03
Naranja,IVkwMzTxgog,00:00:39,00:00:03
Naranja,LjEVaPWWtvk,00:00:48,00:00:03
Naranja,Dgyv9EsBNtk,00:05:23,00:00:03
Naranja,6OCvQVpcLUE,00:02:33,00:00:07
Naranja,PBN-SILqA50,00:01:16,00:00:03
Blanco,U7m4daxkSBQ,00:03:24,00:00:04
Blanco,IVkwMzTxgog,00:00:51,00:00:02
Blanco,6OCvQVpcLUE,00:01:13,00:00:05
Blanco,6OCvQVpcLUE,00:00:57,00:00:04
Blanco,PBN-SILqA50,00:00:54,00:00:03
Papa,NWEJI39YaKA,00:01:13,00:00:05
Papa,6S8_SJL9FhM,00:00:42,00:00:04
Papa,9rc-9_khBnM,00:00:22,00:00:02
Papa,l0zb_21W5BY,00:00:34,00:00:03
Papa,90R07Xh6OqY,00:01:36,00:00:02
Hermano,6S8_SJL9FhM,00:00:58,00:00:04
Hermano,NWEJI39YaKA,00:01:45,00:00:02
Hermano,9rc-9_khBnM,00:01:05,00:00:02
Hermano,l0zb_21W5BY,00:00:40,00:00:03
Hermano,90R07Xh6OqY,00:02:01,00:00:02
Abuelo,6S8_SJL9FhM,00:01:10,00:00:03
Abuelo,NWEJI39YaKA,00:02:53,00:00:02
Abuelo,9rc-9_khBnM,00:00:57,00:00:02
Abuelo,l0zb_21W5BY,00:01:09,00:00:03
Abuelo,90R07Xh6OqY,00:02:49,00:00:03
Hijo,9rc-9_khBnM,00:00:35,00:00:03
Hijo,l0zb_21W5BY,00:01:52,00:00:04
Hijo,90R07Xh6OqY,00:01:40,00:00:02
Hijo,tTL0SDRUeJw,00:00:42,00:00:02
Hijo,qemzy-437mE,00:00:33,00:00:02
Tio,9rc-9_khBnM,00:00:47,00:00:02
Tio,l0zb_21W5BY,00:00:50,00:00:04
Tio,90R07Xh6OqY,00:02:12,00:00:02
Tio,tTL0SDRUeJw,00:00:38,00:00:01
Tio,qemzy-437mE,00:00:50,00:00:02
casa,ijbXmaU_aBo,00:00:26,00:00:01
casa,GeM890-cKD0,00:00:50,00:00:02
casa,lvgZ_9QBYmc,00:00:53,00:00:01
casa,TuuyArehf3M,00:00:14,00:00:02
casa,uIhXTJBcJoQ,00:00:40,00:00:01
hospital,uJBfwXKX1tw,00:00:12,00:00:03
hospital,TuuyArehf3M,00:01:31,00:00:02
hospital,uIhXTJBcJoQ,00:01:11,00:00:03
hospital,ldGWh0GcHiY,00:00:48,00:00:03
iglesia,GeM890-cKD0,00:02:07,00:00:03
iglesia,uJBfwXKX1tw,00:00:49,00:00:02
iglesia,uIhXTJBcJoQ,00:01:26,00:00:02
iglesia,ldGWh0GcHiY,00:00:40,00:00:02
escuela,TuuyArehf3M,00:00:37,00:00:04
escuela,ldGWh0GcHiY,00:00:30,00:00:03
escuela,R-MJ3iyW2Q8,00:00:01,00:00:02
escuela,nJDRWHZiUn4,00:00:44,00:00:03
escuela,YVPjcVezmiQ,00:00:57,00:00:02
cine,GeM890-cKD0,00:01:03,00:00:03
cine,lvgZ_9QBYmc,00:05:16,00:00:03
cine,uJBfwXKX1tw,00:01:12,00:00:02
cine,TuuyArehf3M,00:00:55,00:00:02
